population,pc,pm,sel,cros,ss,best_fit,final_diversity,final_exploration,final_exploitation,runtime
200,0.95,0.25,tournament,multi_points,False,-0.5940076865544311,0.0085497643400976,0.3947374422079118,99.60526255779207,408.3400783002144
200,0.95,0.05,tournament,one_point,False,-0.5940530211074714,0.0074107965167848,0.336004192042489,99.6639958079575,395.578646300477
50,0.75,0.25,tournament,uniform,False,-0.5940545179242012,2.114625305126585,96.39887664210713,3.601123357892888,97.80212550016586
200,0.75,0.05,tournament,arithmetic,False,-0.5940880938484094,0.006381341909486,0.3412956936258949,99.6587043063741,385.0915487998864
50,0.95,0.025,tournament,multi_points,False,-0.5941557817046428,0.0118651121028338,0.55439524454606,99.44560475545394,96.32374240015632
50,0.75,0.25,tournament,uniform,False,-0.59422438435352,2.1156096534089808,95.08316236242032,4.916837637579675,96.41458760027308
200,0.95,0.05,tournament,arithmetic,False,-0.5942315241921651,0.0056560167470748,0.320122385268397,99.6798776147316,396.5205068995711
200,0.75,0.25,tournament,arithmetic,False,-0.5942324676143729,1.86333326708071,94.21698537848822,5.783014621511782,390.988591599511
50,0.95,0.25,tournament,uniform,False,-0.5942358473739984,2.111316927143426,94.97077250743256,5.029227492567443,108.9045435001608
50,0.95,0.05,tournament,one_point,False,-0.5942855752587368,0.0101419774246277,0.4713983039314633,99.52860169606852,97.1530064996332
50,0.75,0.25,tournament,one_point,False,-0.5943086081831972,2.049231404789864,92.95961335679443,7.040386643205565,99.63314059982076
200,0.75,0.05,tournament,arithmetic,False,-0.5943389669192225,0.0181799648714651,0.9944559360992764,99.00554406390071,381.21756680018734
50,0.95,0.05,tournament,multi_points,False,-0.5943555970360961,0.0072294791276101,0.337041656624528,99.66295834337548,97.000723600504
50,0.75,0.25,tournament,one_point,False,-0.594405402884727,2.056806549061222,93.17656309032355,6.823436909676445,99.3352030996466
200,0.95,0.25,tournament,arithmetic,False,-0.5944326751176585,0.0030604251281505,0.1737099458756066,99.8262900541244,401.3311967003392
200,0.95,0.25,roulette,multi_points,False,-0.594440114475644,2.294215987416256,99.47691286045256,0.5230871395474281,392.1906722995918
50,0.75,0.025,tournament,one_point,False,-0.5944572481253722,0.009132054681845,0.4278033543212895,99.57219664567872,94.356758300215
50,0.75,0.25,tournament,multi_points,False,-0.5944623089372445,2.10474754004965,96.43400138265046,3.5659986173495355,99.28790160012431
50,0.75,0.25,tournament,multi_points,False,-0.5944680369185282,0.0075538558795386,0.3552737927811216,99.64472620721888,101.82155230012722
200,0.75,0.025,tournament,arithmetic,False,-0.5944988593654291,0.0068938733299278,0.3777987807276362,99.62220121927236,381.0459196998272
200,0.95,0.25,tournament,arithmetic,False,-0.5945196994455189,1.4979140461280989,77.12167964947491,22.878320350525087,395.0852511002449
50,0.95,0.25,tournament,multi_points,False,-0.5945470678727791,0.0061083370480306,0.2900345277516386,99.70996547224836,98.1816663997015
50,0.75,0.25,tournament,multi_points,False,-0.5945484704004491,2.122142015476978,96.9391580595236,3.060841940476408,96.66040859976783
50,0.75,0.05,tournament,one_point,False,-0.5945647853235476,0.0081264286539714,0.3883134824471916,99.6116865175528,98.8932587999152
50,0.75,0.25,tournament,one_point,False,-0.5945768712910345,0.0073532320794931,0.3470186028707301,99.65298139712928,111.8896239004098
200,0.95,0.05,tournament,arithmetic,False,-0.5945777865808516,0.0037830057562691,0.2136131324581986,99.7863868675418,395.7562030999688
50,0.75,0.025,tournament,arithmetic,False,-0.59458132070531,0.3716192442390968,20.387706037694063,79.61229396230593,95.18971470021644
200,0.95,0.025,tournament,arithmetic,False,-0.5945815014265989,0.0044938636705786,0.2539513254106805,99.74604867458932,394.9774743001908
200,0.75,0.25,tournament,arithmetic,False,-0.5946712064011925,0.0084932174564333,0.4677099082512511,99.53229009174876,399.8100218002219
